session_id,date,education_level,subject,task_type,duration_min,num_prompts,ai_help_level,result,reuse_ai_again,prompts_per_min,is_success,satisfaction_rating
1,2025-01-01 00:00:00,Undergraduate,Business,Coding,23,11,3,Completed,True,0.4782608695652174,1,4.659754305225353
2,2025-01-01 01:00:00,Undergraduate,Psychology,Writing,47,11,3,Completed,False,0.23404255319148937,1,5.0
3,2025-01-01 02:00:00,Graduate,Biology,Studying,40,11,5,Completed,True,0.275,1,5.0
4,2025-01-01 03:00:00,Undergraduate,Mathematics,Coding,62,15,4,Completed,False,0.24193548387096775,1,5.0
5,2025-01-01 04:00:00,High School,Psychology,Coding,44,12,2,Completed,False,0.2727272727272727,1,4.644672281893477
6,2025-01-01 05:00:00,Graduate,History,Writing,50,8,3,Partial Complete,True,0.16,1,4.435074967055555
7,2025-01-01 06:00:00,Undergraduate,Mathematics,Homework Help,50,8,5,Completed,True,0.16,1,5.0
8,2025-01-01 07:00:00,Undergraduate,Psychology,Brainstorming,59,13,2,Partial Complete,True,0.22033898305084745,1,4.1835050645849865
9,2025-01-01 08:00:00,High School,Engineering,Writing,49,14,3,Completed,True,0.2857142857142857,1,5.0
10,2025-01-01 09:00:00,Undergraduate,Computer Science,Writing,38,10,5,Completed,True,0.2631578947368421,1,5.0
11,2025-01-01 10:00:00,Undergraduate,Mathematics,Writing,61,6,3,Drafted Ideas,True,0.09836065573770492,0,4.253020243411536
12,2025-01-01 11:00:00,Graduate,Biology,Coding,81,18,4,Completed,True,0.2222222222222222,1,5.0
13,2025-01-01 12:00:00,Undergraduate,Mathematics,Studying,62,17,5,Completed,True,0.27419354838709675,1,5.0
14,2025-01-01 13:00:00,Graduate,History,Writing,47,2,3,Confused,True,0.0425531914893617,0,3.0602163656849846
15,2025-01-01 14:00:00,Undergraduate,Mathematics,Writing,57,18,5,Completed,True,0.3157894736842105,1,5.0
16,2025-01-01 15:00:00,High School,Mathematics,Coding,18,10,3,Completed,True,0.5555555555555556,1,4.523620059420923
17,2025-01-01 16:00:00,Undergraduate,History,Brainstorming,57,12,3,Completed,False,0.21052631578947367,1,5.0
18,2025-01-01 17:00:00,High School,Mathematics,Writing,51,17,2,Completed,True,0.3333333333333333,1,4.534557810920641
19,2025-01-01 18:00:00,Graduate,History,Coding,41,20,3,Completed,True,0.4878048780487805,1,5.0
20,2025-01-01 19:00:00,Undergraduate,Business,Studying,44,17,4,Completed,True,0.38636363636363635,1,5.0
21,2025-01-01 20:00:00,Undergraduate,Psychology,Studying,51,13,2,Partial Complete,True,0.2549019607843137,1,4.3975001156819795
22,2025-01-01 21:00:00,Undergraduate,Psychology,Coding,79,5,3,Drafted Ideas,False,0.06329113924050633,0,4.115512156592524
23,2025-01-01 22:00:00,Graduate,Mathematics,Coding,81,1,4,Gave Up,True,0.012345679012345678,0,3.423636935070838
24,2025-01-01 23:00:00,Graduate,Biology,Studying,41,16,5,Completed,True,0.3902439024390244,1,5.0
25,2025-01-02 00:00:00,Undergraduate,Computer Science,Studying,49,18,4,Completed,False,0.3673469387755102,1,5.0
26,2025-01-02 01:00:00,High School,Psychology,Studying,50,7,4,Partial Complete,False,0.14,1,5.0
27,2025-01-02 02:00:00,Undergraduate,Engineering,Brainstorming,76,10,4,Completed,True,0.13157894736842105,1,5.0
28,2025-01-02 03:00:00,High School,History,Brainstorming,62,9,3,Partial Complete,True,0.14516129032258066,1,4.347947452955007
29,2025-01-02 04:00:00,High School,History,Coding,61,9,3,Partial Complete,True,0.14754098360655737,1,4.1298368215088495
30,2025-01-02 05:00:00,Undergraduate,Psychology,Studying,70,17,4,Completed,True,0.24285714285714285,1,5.0
31,2025-01-02 06:00:00,Undergraduate,Computer Science,Studying,48,13,2,Completed,False,0.2708333333333333,1,4.8537078551738375
32,2025-01-02 07:00:00,Graduate,Business,Studying,87,10,5,Completed,True,0.11494252873563218,1,5.0
33,2025-01-02 08:00:00,Undergraduate,History,Coding,59,25,3,Completed,True,0.423728813559322,1,5.0
34,2025-01-02 09:00:00,Undergraduate,Biology,Studying,42,4,5,Completed,True,0.09523809523809523,1,5.0
35,2025-01-02 10:00:00,Undergraduate,History,Coding,55,14,2,Completed,False,0.2545454545454545,1,4.539459900005346
36,2025-01-02 11:00:00,High School,Biology,Homework Help,84,6,3,Drafted Ideas,True,0.07142857142857142,0,4.707998375540504
37,2025-01-02 12:00:00,High School,Biology,Coding,51,11,3,Completed,False,0.21568627450980393,1,5.0
38,2025-01-02 13:00:00,Undergraduate,Mathematics,Brainstorming,78,12,3,Completed,True,0.15384615384615385,1,5.0
39,2025-01-02 14:00:00,High School,Engineering,Studying,47,16,4,Completed,False,0.3404255319148936,1,5.0
40,2025-01-02 15:00:00,Undergraduate,Biology,Studying,44,10,4,Completed,False,0.22727272727272727,1,5.0
41,2025-01-02 16:00:00,Undergraduate,Mathematics,Homework Help,73,10,5,Completed,False,0.136986301369863,1,5.0
42,2025-01-02 17:00:00,Graduate,Engineering,Coding,42,10,5,Completed,False,0.23809523809523808,1,5.0
43,2025-01-02 18:00:00,Undergraduate,Business,Writing,76,6,2,Confused,False,0.07894736842105263,0,2.3505305012295525
44,2025-01-02 19:00:00,Undergraduate,History,Homework Help,67,15,5,Completed,False,0.22388059701492538,1,5.0
45,2025-01-02 20:00:00,Graduate,Biology,Writing,42,13,3,Completed,True,0.30952380952380953,1,5.0
46,2025-01-02 21:00:00,Graduate,Engineering,Coding,58,14,3,Completed,True,0.2413793103448276,1,4.767927643482604
47,2025-01-02 22:00:00,Undergraduate,Biology,Coding,49,11,2,Completed,True,0.22448979591836735,1,4.52119259326645
48,2025-01-02 23:00:00,High School,Mathematics,Studying,66,11,4,Completed,True,0.16666666666666666,1,5.0
49,2025-01-03 00:00:00,Undergraduate,Business,Studying,97,17,5,Completed,True,0.17525773195876287,1,5.0
50,2025-01-03 01:00:00,High School,Mathematics,Studying,52,17,3,Completed,True,0.3269230769230769,1,5.0
51,2025-01-03 02:00:00,High School,Business,Brainstorming,70,19,5,Completed,False,0.2714285714285714,1,5.0
52,2025-01-03 03:00:00,High School,Mathematics,Writing,60,13,2,Completed,True,0.21666666666666667,1,5.0
53,2025-01-03 04:00:00,Undergraduate,History,Studying,60,18,5,Completed,True,0.3,1,5.0
54,2025-01-03 05:00:00,Undergraduate,Biology,Studying,56,9,3,Completed,True,0.16071428571428573,1,5.0
55,2025-01-03 06:00:00,Undergraduate,Biology,Writing,42,10,3,Completed,True,0.23809523809523808,1,4.878853708125829
56,2025-01-03 07:00:00,Undergraduate,Business,Homework Help,66,17,2,Completed,True,0.25757575757575757,1,4.562350765521518
57,2025-01-03 08:00:00,Undergraduate,History,Studying,54,16,5,Completed,True,0.2962962962962963,1,5.0
58,2025-01-03 09:00:00,Undergraduate,Mathematics,Coding,41,10,4,Completed,True,0.24390243902439024,1,5.0
59,2025-01-03 10:00:00,High School,Biology,Brainstorming,80,6,5,Partial Complete,False,0.075,1,5.0
60,2025-01-03 11:00:00,High School,Computer Science,Brainstorming,61,10,3,Completed,True,0.16393442622950818,1,5.0
61,2025-01-03 12:00:00,Undergraduate,Computer Science,Homework Help,55,8,2,Drafted Ideas,False,0.14545454545454545,0,3.491862155132752
62,2025-01-03 13:00:00,Undergraduate,Computer Science,Studying,86,20,4,Completed,False,0.23255813953488372,1,5.0
63,2025-01-03 14:00:00,Undergraduate,History,Studying,23,15,2,Completed,True,0.6521739130434783,1,4.985683041907125
64,2025-01-03 15:00:00,Undergraduate,History,Coding,85,8,4,Partial Complete,True,0.09411764705882353,1,4.753237857950371
65,2025-01-03 16:00:00,Undergraduate,Computer Science,Studying,42,6,2,Confused,False,0.14285714285714285,0,2.5045810018950028
66,2025-01-03 17:00:00,Undergraduate,Computer Science,Brainstorming,64,8,2,Drafted Ideas,False,0.125,0,3.4233551282825543
67,2025-01-03 18:00:00,Undergraduate,History,Studying,48,9,4,Completed,True,0.1875,1,5.0
68,2025-01-03 19:00:00,Undergraduate,Biology,Writing,41,11,4,Completed,True,0.2682926829268293,1,5.0
69,2025-01-03 20:00:00,High School,Business,Homework Help,86,17,2,Completed,True,0.19767441860465115,1,4.888710907103754
70,2025-01-03 21:00:00,Undergraduate,Mathematics,Homework Help,97,7,2,Drafted Ideas,True,0.07216494845360824,0,3.4297437694726636
71,2025-01-03 22:00:00,High School,Psychology,Writing,55,23,5,Completed,True,0.41818181818181815,1,5.0
