session_id,date,education_level,subject,task_type,duration_min,num_prompts,ai_help_level,result,reuse_ai_again,satisfaction_rating,prompts_per_min,is_success
1,2021-04-01,High School,History,Coding,62,9,High,Pass,Yes,10,0.15,Yes
2,2024-09-24,High School,Mathematics,Essay,60,15,High,Incomplete,Yes,9,0.25,No
3,2022-03-25,PhD,Biology,Research,155,18,Low,Pass,No,6,0.12,Yes
4,2023-02-12,Undergraduate,Biology,Quiz,31,6,Medium,Pass,No,6,0.19,Yes
5,2022-12-19,High School,Economics,Presentation,36,25,Low,Incomplete,No,10,0.69,No
6,2024-01-21,Undergraduate,Physics,Essay,174,15,Medium,Pass,Yes,2,0.09,No
7,2024-04-05,Postgraduate,Economics,Project,98,11,Medium,Fail,Yes,5,0.11,No
8,2020-10-19,Undergraduate,Literature,Project,67,11,Medium,Fail,No,9,0.16,No
9,2022-06-18,Postgraduate,Mathematics,Coding,13,21,Medium,Fail,Yes,4,1.62,No
10,2023-07-12,Undergraduate,Economics,Research,169,30,Low,Fail,Yes,4,0.18,No
11,2022-12-12,PhD,Engineering,Research,97,15,Low,Incomplete,No,2,0.15,No
12,2020-07-11,High School,Chemistry,Project,45,28,High,Pass,No,7,0.62,Yes
13,2025-04-01,Postgraduate,Literature,Essay,179,8,High,Incomplete,No,6,0.04,No
14,2021-04-01,Postgraduate,AI,Coding,121,1,High,Incomplete,No,9,0.01,No
15,2022-01-01,High School,History,Project,134,39,Low,Pass,No,3,0.29,No
16,2020-01-03,Postgraduate,Economics,Essay,33,24,Medium,Pass,Yes,4,0.73,No
17,2020-11-18,High School,Economics,Essay,141,9,Low,Incomplete,No,9,0.06,No
18,2021-11-07,Postgraduate,Literature,Presentation,113,14,High,Incomplete,Yes,5,0.12,No
19,2024-06-22,Postgraduate,Economics,Presentation,120,8,Low,Pass,Yes,6,0.07,Yes
20,2020-03-27,Undergraduate,Engineering,Coding,6,5,High,Incomplete,Yes,4,0.83,No
21,2020-10-03,High School,Computer Science,Essay,136,16,Medium,Incomplete,No,4,0.12,No
22,2021-06-25,PhD,Biology,Research,109,13,Low,Pass,No,6,0.12,Yes
23,2024-09-30,PhD,Economics,Project,18,7,Low,Fail,No,2,0.39,No
24,2022-10-15,Undergraduate,Biology,Presentation,119,9,Medium,Pass,No,8,0.08,Yes
25,2022-10-20,High School,Economics,Presentation,30,4,High,Incomplete,Yes,2,0.13,No
26,2022-08-26,Undergraduate,AI,Research,128,14,Medium,Pass,Yes,7,0.11,Yes
27,2020-01-09,PhD,History,Research,78,28,High,Incomplete,No,3,0.36,No
28,2022-02-16,Postgraduate,Biology,Essay,153,35,Low,Incomplete,No,1,0.23,No
29,2020-07-24,PhD,Literature,Presentation,45,4,High,Pass,Yes,2,0.09,No
30,2020-10-05,Undergraduate,AI,Essay,150,16,High,Incomplete,Yes,10,0.11,No
31,2020-12-01,PhD,Engineering,Presentation,138,21,Medium,Pass,No,4,0.15,No
32,2022-12-23,PhD,Chemistry,Project,170,20,Medium,Fail,Yes,1,0.12,No
33,2025-02-20,High School,Physics,Presentation,59,33,Medium,Pass,No,2,0.56,No
34,2022-09-27,Postgraduate,History,Coding,117,35,High,Fail,Yes,9,0.3,No
35,2023-05-11,High School,Chemistry,Quiz,34,7,High,Incomplete,Yes,5,0.21,No
36,2023-02-28,Undergraduate,Computer Science,Coding,180,17,High,Fail,No,1,0.09,No
37,2021-01-13,PhD,History,Essay,5,22,Low,Incomplete,No,3,4.4,No
38,2024-12-14,PhD,Literature,Essay,33,5,High,Pass,Yes,6,0.15,Yes
39,2021-08-29,PhD,Chemistry,Essay,83,24,Low,Fail,Yes,4,0.29,No
40,2021-02-25,Postgraduate,Literature,Research,163,10,Low,Pass,Yes,7,0.06,Yes
41,2020-04-11,Undergraduate,Computer Science,Research,176,16,Medium,Pass,Yes,7,0.09,Yes
42,2020-06-07,PhD,Biology,Coding,122,23,Medium,Pass,Yes,1,0.19,No
43,2022-03-02,PhD,Computer Science,Quiz,22,18,Medium,Incomplete,No,9,0.82,No
44,2023-09-18,High School,Physics,Quiz,50,38,Medium,Pass,Yes,10,0.76,Yes
45,2024-11-14,Postgraduate,Computer Science,Research,160,33,Low,Fail,Yes,5,0.21,No
46,2020-06-30,PhD,Mathematics,Presentation,142,13,Medium,Fail,Yes,6,0.09,No
47,2023-07-09,High School,History,Presentation,84,27,Medium,Fail,No,9,0.32,No
48,2021-06-05,Undergraduate,AI,Project,102,12,High,Incomplete,No,7,0.12,No
49,2020-01-02,Postgraduate,History,Coding,115,38,High,Incomplete,No,8,0.33,No
50,2024-12-14,PhD,Biology,Presentation,126,11,High,Pass,No,9,0.09,Yes
51,2023-10-04,High School,Biology,Project,84,15,Low,Pass,Yes,1,0.18,No
52,2022-09-29,PhD,Engineering,Essay,121,27,High,Incomplete,Yes,7,0.22,No
53,2025-07-17,PhD,Biology,Coding,172,1,Low,Fail,Yes,3,0.01,No
54,2025-10-22,PhD,Mathematics,Presentation,68,8,Medium,Pass,No,9,0.12,Yes
55,2023-07-23,PhD,Engineering,Project,134,28,High,Fail,Yes,8,0.21,No
56,2025-01-17,Postgraduate,Biology,Project,75,34,Medium,Incomplete,Yes,5,0.45,No
57,2024-12-06,High School,History,Coding,74,22,Medium,Incomplete,Yes,3,0.3,No
58,2021-09-09,Undergraduate,AI,Project,44,14,Low,Fail,No,6,0.32,No
59,2025-03-23,PhD,Mathematics,Coding,112,25,High,Incomplete,Yes,10,0.22,No
60,2024-04-07,PhD,Mathematics,Quiz,81,25,Medium,Incomplete,Yes,8,0.31,No
61,2022-06-17,Postgraduate,AI,Research,12,25,Medium,Incomplete,No,3,2.08,No
62,2025-03-29,Undergraduate,Engineering,Presentation,11,26,High,Incomplete,Yes,2,2.36,No
63,2024-10-21,Undergraduate,Economics,Coding,17,17,Medium,Fail,Yes,8,1.0,No
64,2023-08-31,Postgraduate,AI,Quiz,112,17,Low,Fail,Yes,9,0.15,No
65,2020-08-01,Postgraduate,Biology,Project,22,3,Low,Pass,Yes,1,0.14,No
66,2021-09-16,Undergraduate,Chemistry,Research,176,8,High,Pass,No,5,0.05,No
67,2024-02-19,Undergraduate,Engineering,Presentation,34,11,Medium,Pass,Yes,5,0.32,No
68,2024-03-17,PhD,Biology,Essay,156,16,Low,Incomplete,No,10,0.1,No
69,2021-05-10,High School,Computer Science,Presentation,114,24,Low,Incomplete,No,1,0.21,No
70,2024-09-16,PhD,Physics,Research,97,30,High,Pass,No,3,0.31,No
71,2025-11-07,Postgraduate,Engineering,Presentation,128,30,Medium,Incomplete,No,6,0.23,No
72,2022-10-02,High School,History,Research,67,30,High,Incomplete,No,6,0.45,No
73,2020-04-27,PhD,Computer Science,Coding,129,14,Medium,Fail,No,5,0.11,No
74,2023-02-05,High School,Literature,Coding,26,16,High,Fail,No,9,0.62,No
75,2022-09-11,PhD,Economics,Research,9,6,Medium,Pass,No,4,0.67,No
76,2023-06-08,Postgraduate,Economics,Presentation,140,23,Medium,Incomplete,No,6,0.16,No
77,2025-02-01,Postgraduate,History,Quiz,64,8,High,Pass,No,2,0.12,No
78,2022-01-28,Undergraduate,Biology,Project,128,18,High,Incomplete,No,2,0.14,No
79,2022-03-06,Postgraduate,Biology,Quiz,50,20,Low,Incomplete,Yes,5,0.4,No
80,2020-07-05,High School,Literature,Quiz,37,32,Low,Pass,No,8,0.86,Yes
81,2025-05-14,PhD,Computer Science,Coding,18,17,Medium,Pass,Yes,7,0.94,Yes
82,2025-07-07,High School,Engineering,Project,180,4,Low,Pass,No,2,0.02,No
83,2022-10-13,High School,Literature,Research,160,39,High,Pass,No,8,0.24,Yes
84,2024-12-18,Postgraduate,Engineering,Research,83,37,High,Pass,Yes,4,0.45,No
85,2022-05-14,Postgraduate,Physics,Coding,66,12,High,Pass,Yes,1,0.18,No
86,2024-07-31,PhD,Engineering,Research,79,3,Low,Fail,No,8,0.04,No
87,2020-10-18,Undergraduate,History,Project,155,13,Medium,Pass,Yes,3,0.08,No
88,2022-12-24,Undergraduate,Physics,Essay,47,20,High,Incomplete,No,8,0.43,No
89,2021-05-24,PhD,History,Project,108,18,High,Incomplete,No,8,0.17,No
90,2020-11-25,High School,AI,Project,87,39,Medium,Pass,Yes,4,0.45,No
91,2020-03-25,Postgraduate,Engineering,Essay,49,31,High,Incomplete,No,5,0.63,No
92,2022-01-13,PhD,Economics,Essay,125,23,Medium,Fail,No,2,0.18,No
93,2021-10-20,Postgraduate,AI,Project,131,19,High,Fail,Yes,8,0.15,No
94,2020-12-26,Postgraduate,History,Quiz,34,26,High,Pass,No,7,0.76,Yes
95,2020-08-10,Undergraduate,Literature,Quiz,164,32,High,Fail,Yes,4,0.2,No
96,2022-12-29,Undergraduate,History,Research,129,8,Low,Incomplete,Yes,3,0.06,No
97,2023-06-26,High School,Literature,Research,28,15,Low,Fail,Yes,3,0.54,No
98,2025-08-03,Postgraduate,Literature,Project,74,27,Medium,Fail,Yes,8,0.36,No
99,2021-08-15,PhD,Biology,Presentation,135,9,Low,Fail,No,6,0.07,No
100,2025-09-10,Postgraduate,Mathematics,Quiz,81,38,High,Incomplete,No,3,0.47,No
101,2025-01-03,PhD,Computer Science,Quiz,146,35,Medium,Fail,No,4,0.24,No
102,2022-09-05,PhD,Biology,Research,16,21,High,Fail,No,7,1.31,No
103,2021-09-15,PhD,Mathematics,Coding,133,38,Medium,Pass,No,2,0.29,No
104,2025-02-14,High School,Chemistry,Research,172,10,Low,Fail,No,6,0.06,No
105,2024-06-16,High School,Computer Science,Project,141,25,Medium,Incomplete,No,9,0.18,No
106,2020-05-27,High School,Biology,Project,180,19,Low,Incomplete,Yes,7,0.11,No
107,2021-02-07,High School,Economics,Coding,81,2,Low,Fail,Yes,5,0.02,No
108,2024-01-08,Postgraduate,AI,Coding,67,34,Medium,Incomplete,Yes,3,0.51,No
109,2021-12-18,High School,Engineering,Research,163,16,Medium,Incomplete,Yes,4,0.1,No
110,2025-03-03,Postgraduate,Economics,Quiz,175,1,Medium,Fail,Yes,2,0.01,No
111,2024-12-14,Postgraduate,Engineering,Quiz,168,28,High,Fail,No,5,0.17,No
112,2022-03-26,PhD,Economics,Essay,65,25,High,Fail,No,5,0.38,No
113,2020-03-30,PhD,History,Essay,149,4,High,Incomplete,No,5,0.03,No
114,2022-07-31,Postgraduate,Biology,Project,53,40,Medium,Incomplete,Yes,2,0.75,No
115,2020-06-10,Postgraduate,Economics,Essay,153,24,High,Pass,Yes,5,0.16,No
116,2023-08-31,PhD,Chemistry,Coding,38,35,Medium,Incomplete,No,3,0.92,No
117,2022-11-18,PhD,History,Project,91,8,Medium,Pass,Yes,4,0.09,No
118,2024-06-15,Postgraduate,Physics,Research,8,17,High,Pass,No,6,2.12,Yes
119,2022-12-09,PhD,Computer Science,Essay,177,15,Medium,Pass,No,10,0.08,Yes
120,2022-06-25,High School,Economics,Project,82,27,Low,Pass,Yes,1,0.33,No
121,2023-05-31,PhD,Physics,Essay,65,35,Low,Fail,No,6,0.54,No
122,2024-09-12,Undergraduate,AI,Project,30,32,High,Fail,No,1,1.07,No
